Current (mA) ,Voltage White up (mV),Voltage green up (mV),delta V (mV),delta V mean,,Deviation
15.02,-2.6234,2.65821,5.28161,5.281263333,,0.0003466666667
15.02,-2.6231,2.65763,5.28073,5.281263333,,-0.0005333333333
15.02,-2.62435,2.6571,5.28145,5.281263333,,0.0001866666667
30.04,-5.24493,5.31124,10.55617,10.55704333,,-0.0008733333333
30.04,-5.2435,5.31165,10.55515,10.55704333,,-0.001893333333
30.04,-5.24461,5.3152,10.55981,10.55704333,,0.002766666667
45.06,-7.85643,7.96512,15.82155,15.82032667,,0.001223333333
45.06,-7.8557,7.96423,15.81993,15.82032667,,-0.0003966666667
45.06,-7.8554,7.9641,15.8195,15.82032667,,-0.0008266666667
60.05,-10.46353,10.60973,21.07326,21.07257667,,0.0006833333333
60.05,-10.46363,10.60921,21.07284,21.07257667,,0.0002633333333
60.05,-10.4621,10.60953,21.07163,21.07257667,,-0.0009466666667
75.02,-13.07565,13.24843,26.32408,26.32436667,,-0.0002866666667
75.02,-13.07589,13.24777,26.32366,26.32436667,,-0.0007066666667
75.02,-13.07642,13.24894,26.32536,26.32436667,,0.0009933333333
90.01,-15.67432,15.88112,31.55544,31.55535333,,0.00008666666667
90.01,-15.67443,15.88121,31.55564,31.55535333,,0.0002866666667
90.01,-15.67435,15.88063,31.55498,31.55535333,,-0.0003733333333
